7854e0923f8ff9ee	STEP, Inc.	INFRASTRUCTURE Engineers, Civil, ME&P consulting, and Land Surveyors	Willow Grove, PA 19090	CE	MID_LEVEL	$75,000 - $160,000 a year
be47c1a2d0cf67f9	RH Batterman	Project Manager, Civil Engineering Design	Remote	CE	MID_LEVEL	From $110,000 a year
7288a30d5ed33339	Consolidated Edison Company of New York, Inc.	Engineer	Spring Valley, NY 10977	CE	MID_LEVEL	$100,000 - $135,000 a year
b01bb9c0510632b7	Johnson & Johnson	Senior Supplier Quality Engineer	Redwood City, CA	CE	MID_LEVEL	$157,700 - $167,700 a year
ca04c33fa6479805	Messer Construction Co.	Virtual Design & Construction Engineer - Columbus, OH	Columbus, OH 43204 (Brookhollow area)	CE	MID_LEVEL	Estimated $73.4K - $92.9K a year
323b5b7b74b2edfc	Branch Civil	PROJECT ENGINEER	Stuart, VA 24171	CE	MID_LEVEL	Estimated $65.6K - $83.1K a year
3e737a4f47a68f2a	City of Chesapeake	Project Manager	Chesapeake, VA 23322 (Great Bridge area)	CE	MID_LEVEL	$81,254 - $107,662 a year
f8703d327393bceb	WSSC Water	Associate Project Manager - Pipeline Design	Laurel, MD	CE	MID_LEVEL	$62,183 - $105,712 a year
319c686dc29b1011	Chester Valley Engineers	Civil Engineer	Malvern, PA 19355	CE	MID_LEVEL	Estimated $66.3K - $83.9K a year
5f877a977dea546a	State of Indiana	Scoping Engineer	Greenfield, IN 46140	CE	MID_LEVEL	Estimated $71.8K - $90.9K a year
f2a79af6be8f751f	Pinellas County Government	Building Inspector 3	Clearwater, FL 33756	CE	MID_LEVEL	$55,390.40 - $86,465.60 a year
3d1a8ac3279859c6	Fisher Construction Group, Inc.	Civil Project Engineer- Commercial/Industrial Construction	Moses Lake, WA	CE	MID_LEVEL	$75,000 - $112,624 a year
48bdbdb959e23bcc	Crest Industries	Project Manager	Hybrid remote in Lafayette, LA	CE	MID_LEVEL	$76,899 - $160,765 a year
