42c97e222d2f90b2	Comal County	County Engineer	New Braunfels, TX 78130	CE	SENIOR_LEVEL	$139,314.41 - $150,459.56 a year
2bcfb554fa47449c	Creighton Manning Engineering	Transportation Planner/Engineer (Planner I)	Hybrid remote in White Plains, NY 10604	CE	SENIOR_LEVEL	$33.30 - $38.62 an hour
a6ee21388ac8140a	bp	Pressure System Integrity Engineer (Delivery focused)	Hybrid remote in Chicago, IL	CE	SENIOR_LEVEL	Estimated $109K - $139K a year
b1a901c101c76074	WSB LLC	Project Engineer	Saint Paul, MN 55101	CE	SENIOR_LEVEL	Estimated $87.1K - $110K a year
4e089170b3690c85	City of Roseville, CA	Senior Engineer	Roseville, CA 95678 (Folsom Road area)	CE	SENIOR_LEVEL	$8,839.58 - $11,845.91 a month
ad122005c6b65d85	Garney Construction	Assistant Project Manager	Kingsport, TN 37660	CE	SENIOR_LEVEL	Estimated $77.7K - $98.4K a year
7cebaecb8d371b5d	AECOM	Resident Engineer	Chicago, IL 60684 (Near West Side area)	CE	SENIOR_LEVEL	$115,000 - $165,000 a year
56748d536a407fef	Columbia Engineering and Services, Inc.	Senior Civil Engineer	Chipley, FL	CE	SENIOR_LEVEL	Estimated $91K - $115K a year
56c1f551d62784d7	RQ Construction	Senior Civil Engineer	Jacksonville, FL 32258 (Del Rio area)	CE	SENIOR_LEVEL	$140,000 - $160,000 a year
727aead0b7b3d096	The City of Fort Worth	Sr. Water Professional Engineer	Fort Worth, TX	CE	SENIOR_LEVEL	$100,000 - $116,968 a year
464032f92a6e4b01	State of South Carolina	Transportation Engineer IV - Engineering Manager II (61032674)	Columbia, SC 29210 (Saint Andrews area)	CE	SENIOR_LEVEL	$92,126 a year
1f2a3f3f6699824c	Cotter Consulting	Senior Structural Engineer	Remote	CE	SENIOR_LEVEL	Estimated $95.3K - $121K a year
c1c46fcfa0dce2f5	Peraton	Aviation Structural Engineering, Senior Associate	Redstone Arsenal, AL	CE	SENIOR_LEVEL	$112,000 - $179,000 a year
a7599af8c2298137	The Lagneta Group	Airport Senior Project Manager	Albuquerque, NM 87106 (University Hts area)	CE	SENIOR_LEVEL	$120,000 - $140,000 a year
566e796dabb7d663	thyssenkrupp Uhde USA LLC	Civil Structural Engineer	Houston, TX 77084	CE	SENIOR_LEVEL	Estimated $94.2K - $119K a year
d2742a381098428d	Dashiell	Project Manager	Raleigh, NC	CE	SENIOR_LEVEL	Estimated $96.7K - $122K a year
a8c51063fc4c09c3	iLink Resources, Inc.	Project Manager (FC)	Merrillville, IN	CE	SENIOR_LEVEL	Estimated $88K - $111K a year
0f993e1679374b35	Cyfle LLC	Sr. Structural Engineer 3	Bethlehem, PA 18015	CE	SENIOR_LEVEL	$115,000 - $117,500 a year
68907643c99f7127	iLink Resources, Inc.	Civil Engineer - MZ	Waukegan, IL	CE	SENIOR_LEVEL	Estimated $78.1K - $98.9K a year
58c5baebba62cee0	Ripple Effect Consulting	Sr. Civil Land Development Engineer - 002	Phoenix, AZ	CE	SENIOR_LEVEL	$102,000 - $130,000 a year
258d63768e147f52	CTL Engineering	Senior Geotechnical Engineer	Columbus, OH 43204 (Greater Hilltop area)	CE	SENIOR_LEVEL	Estimated $81.2K - $103K a year
a780132e11e3cadb	HydroGeoLogic, Inc	Engineer IV	United States	CE	SENIOR_LEVEL	Estimated $96K - $122K a year
f3e7b30a13ee70d9	George F. Young, Inc.	Structural Engineer Project Manager	Saint Petersburg, FL 33701 (Downtown area)	CE	SENIOR_LEVEL	$95,000 - $115,000 a year
c02934faaf0777c1	WSB LLC	Project Engineer	Minneapolis, MN 55416	CE	SENIOR_LEVEL	Estimated $90.2K - $114K a year
7f67b9a23c56e2c1	RAIZAN SOLUTIONS	Senior Aviation Project Manager	Albuquerque, NM 87102 (Raynolds area)	CE	SENIOR_LEVEL	$100,000 - $110,000 a year
1621ac7f6b99d7ec	Walker Consultants	Project Structural Engineer	San Francisco, CA 94105 (Financial District area)	CE	SENIOR_LEVEL	$90,000 - $125,000 a year
ca5ba3d56b60d144	Hoar	Senior Construction Project Manager / HPM	Brentwood, TN 37027	CE	SENIOR_LEVEL	Estimated $99.8K - $126K a year
e815f3472f9c9cba	Creighton Manning Engineering	Transportation Planner/Engineer (Planner I)	Hybrid remote in Albany, NY 12205	CE	SENIOR_LEVEL	$28.37 - $36.60 an hour
ab4145b2cf236d3e	WSB LLC	Project Engineer	Rochester, MN 55901	CE	SENIOR_LEVEL	Estimated $87.1K - $110K a year
d9b931ad89cfc9c9	E-Business International	Senior Structural Engineer	Warren, NJ 07059	CE	SENIOR_LEVEL	$100,000 - $140,000 a year
83c1f39ed9e0c1b4	Ripple Effect Consulting	Senior Structural Project Engineer - 002	Denver, CO	CE	SENIOR_LEVEL	$115,000 - $140,000 a year
98313a9969f15376	BGE, Inc.	Senior Project Manager - Land Development	The Woodlands, TX 77380	CE	SENIOR_LEVEL	Estimated $124K - $157K a year
0835e6d72e71ffc5	Walker Consultants	Project Structural Engineer	Denver, CO 80111	CE	SENIOR_LEVEL	$90,000 - $125,000 a year
2e965a0e7685ddfd	The Lagneta Group	Airport Senior Project Manager	Tampa, FL 33607 (Carver City area)	CE	SENIOR_LEVEL	Estimated $104K - $132K a year
8b7f4a55604534e1	Walker Consultants	Project Structural Engineer	Phoenix, AZ	CE	SENIOR_LEVEL	$90,000 - $125,000 a year
7b4e9a253ffcf219	Progressive AE	Senior Structural Engineer	Charlotte, NC 28202 (Downtown Charlotte area)	CE	SENIOR_LEVEL	Estimated $105K - $133K a year
8bf2db0190a059ac	The Lagneta Group	Airport Senior Project Manager	Sacramento, CA 95818 (Land Park area)	CE	SENIOR_LEVEL	$120,000 - $140,000 a year
c946a8cd51ad0ebf	The Lagneta Group	Airport Senior Project Manager	Reno, NV	CE	SENIOR_LEVEL	Estimated $104K - $132K a year
54f7a254d9c23eb4	Timmons Group	Landscape Architect Project Manager/Senior Project Manager	Charlottesville, VA 22903 (10th and Page area)	CE	SENIOR_LEVEL	Estimated $100K - $127K a year
dbae75f914e05d99	Timmons Group	Civil Project Manager/Senior Project Manager- Commercial Land Development	Richmond, VA 23225 (Westover area)	CE	SENIOR_LEVEL	Estimated $99.7K - $126K a year
5d0b38ddd7f78ba0	Tectonic Engineering Consultants, Geologists &...	Senior Structural Engineer	Brandon, FL 33511	CE	SENIOR_LEVEL	$75,000 - $125,000 a year
03eebe2edc89c953	The Lagneta Group	Airport Senior Project Manager	Dallas, TX 75251 (North Dallas area)	CE	SENIOR_LEVEL	Estimated $107K - $135K a year
