job title,agency,department,location,salary,search_keyword
Program Analyst-Telehealth,Veterans Health Administration,Department of Veterans Affairs,"Prescott, Arizona
                    Prescott, Arizona","Starting at $46,696 Per Year (GS 7-9)",Data Analyst
Management Analyst,Natural Resources Conservation Service,Department of Agriculture,"Saint Paul, Minnesota
                    Saint Paul, Minnesota","Starting at $61,966 Per Year (GS 9-11)",Data Analyst
Program Analyst (DSFC),Indian Health Service,Department of Health and Human Services,"Oklahoma City, Oklahoma
                    Oklahoma City, Oklahoma","Starting at $57,118 Per Year (GS 9)",Data Analyst
IT Specialist (INFOSEC),Federal Emergency Management Agency,Department of Homeland Security,"Round Hill, Virginia
                    Round Hill, Virginia","Starting at $112,015 Per Year (IC 13)",Data Analyst
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Charleston, South Carolina
                    Charleston, South Carolina","Starting at $57,118 Per Year (GS 9-11)",Data Analyst
Management and Program Analyst,Merit Systems Protection Board,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 13-14)",Data Analyst
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Martinsburg, West Virginia
                    Martinsburg, West Virginia","Starting at $78,592 Per Year (GS 11)",Data Analyst
Operations Research Analyst (6 Month Register),Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $59,510 Per Year (GS 9-12)",Data Analyst
PROGRAM ANALYST,HQ USAF and Support Elements,Department of the Air Force,"Arlington, Virginia
                    Arlington, Virginia","Starting at $132,368 Per Year (GS 14)",Data Analyst
Budget Analyst,Veterans Health Administration,Department of Veterans Affairs,"Los Angeles, California
                    Los Angeles, California","Starting at $54,067 Per Year (GS 7-11)",Data Analyst
Scientific Program Analyst,National Institutes of Health,Department of Health and Human Services,"Montgomery County, Maryland
                    Montgomery County, Maryland","Starting at $94,199 Per Year (GS 12-13)",Data Analyst
FINANCIAL MANAGEMENT ANALYST (ACCELERATED HIRE),Army National Guard Units,Department of the Army,"Latham, New York
                    Latham, New York","Starting at $58,564 Per Year (GS 9)",Data Analyst
Program Analyst,"Offices, Boards and Divisions",Department of Justice,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Data Analyst
Public Notice for Financial Specialist/Analyst (Direct Hire),Federal Aviation Administration,Department of Transportation,"May be filled in various FAA duty locations,","Starting at $43,544 Per Year (FV F-K)",Data Analyst
Medical Records Administrator - (Assistant Chief (ACHIM)),Veterans Health Administration,Department of Veterans Affairs,"Cheyenne, Wyoming
                    Cheyenne, Wyoming","Starting at $69,107 Per Year (GS 11)",Data Analyst
Program Analyst,Deputy Assistant Secretary for Congressional Affairs,Department of Veterans Affairs,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $64,957 Per Year (GS 9-11)",Data Analyst
Public Health Analyst,National Institutes of Health,Department of Health and Human Services,"Montgomery County, Maryland
                    Montgomery County, Maryland","Starting at $94,199 Per Year (GS 12-13)",Data Analyst
SUPPLY SYSTEMS ANALYST,Air National Guard Units,Department of the Air Force,"Port Hueneme, California
                    Port Hueneme, California","Starting at $66,134 Per Year (GS 9)",Data Analyst
Public Health Analyst,National Institutes of Health,Department of Health and Human Services,"Montgomery County, Maryland
                    Montgomery County, Maryland","Starting at $94,199 Per Year (GS 12-13)",Data Analyst
SUPPLY SYSTEMS ANALYST,Army National Guard Units,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $62,903 Per Year (GS 9)",Data Analyst
Public Notice for Direct Hire (Data Modernization),Centers for Disease Control and Prevention,Department of Health and Human Services,Multiple Locations,"Starting at $44,740 Per Year (GS 7-14)",Data Analyst
Performance Improvement Analyst,Department of Homeland Security - Agency Wide,Department of Homeland Security,Anywhere in the U.S. (remote job),"Starting at $112,015 Per Year (GS 13-14)",Data Analyst
FINANCIAL MANAGEMENT ANALYST,Naval Air Systems Command,Department of the Navy,"China Lake, California
                    China Lake, California","Starting at $95,905 Per Year (DA 5)",Data Analyst
IT CYBERSECURITY SPECIALIST (SYSADMIN) (TITLE 5),Air National Guard Units,Department of the Air Force,"Nashville, Tennessee
                    Nashville, Tennessee","Starting at $81,545 Per Year (GS 11)",Data Analyst
IT CYBERSECURITY SPECIALIST (INFOSEC) (TITLE 5),Air National Guard Units,Department of the Air Force,"Nashville, Tennessee
                    Nashville, Tennessee","Starting at $82,830 Per Year (GS 12)",Data Analyst
