job title,agency,department,location,salary,search_keyword
Automotive Worker Supervisor (Automotive Worker Foreman - UNICOR),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Glenville, West Virginia
                    Glenville, West Virginia",Starting at $34.19 Per Hour (WS 08),Product Manager
Automotive Worker Supervisor (Automotive Worker Foreman - UNICOR),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Bastrop, Texas
                    Bastrop, Texas",Starting at $34.86 Per Hour (WS 08),Product Manager
MWR Sales Clerk (Barista),"Commander, Navy Installations",Department of the Navy,"San Diego, California
                    San Diego, California",Starting at $16.30 Per Hour (NF 1),Product Manager
SALES ASSOCIATE NF1*,U.S. Marine Corps,Department of the Navy,"Arlington, Virginia
                    Arlington, Virginia",Starting at $15 Per Hour (NF 01),Product Manager
"SALES ASSOCIATE NF1- SOI $1,000 HIRING BONUS",U.S. Marine Corps,Department of the Navy,"Oceanside, California
                    Oceanside, California",Starting at $16.80 Per Hour (NF 01),Product Manager
Division Manager,Bureau of Engraving and Printing,Department of the Treasury,"Fort Worth, Texas
                    Fort Worth, Texas","Starting at $126,254 Per Year (GS 14)",Product Manager
PROGRAM MANAGER,Naval Sea Systems Command,Department of the Navy,"Washington Navy Yard, District of Columbia
                    Washington Navy Yard, District of Columbia","Starting at $132,368 Per Year (NH 4)",Product Manager
Lead Contract Specialist (Direct Hire),National Aeronautics and Space Administration - Agency Wide,National Aeronautics and Space Administration,Multiple Locations,"Starting at $116,393 Per Year (GS 14)",Product Manager
General Engineer (Project Manager),"Treasury, Departmental Offices",Department of the Treasury,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Product Manager
General Maintenance & Operations Supervisor,Smithsonian Institution,Other Agencies and Independent Organizations,"Front Royal, Virginia
                    Front Royal, Virginia",Starting at $41.57 Per Hour (WS 10),Product Manager
General Maintenance & Operations Supervisor,Smithsonian Institution,Other Agencies and Independent Organizations,"Front Royal, Virginia
                    Front Royal, Virginia",Starting at $41.57 Per Hour (WS 10),Product Manager
Supervisory Social Worker,Veterans Health Administration,Department of Veterans Affairs,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Product Manager
INTERDISCIPLINARY,United States Army Futures Command,Department of the Army,"Fort Belvoir, Virginia
                    Fort Belvoir, Virginia","Starting at $94,199 Per Year (DB 3)",Product Manager
Weapons Systems Support Specialist,Defense Logistics Agency,Department of Defense,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $90,893 Per Year (GS 12)",Product Manager
Information Technology Specialist (Data Management),Patent and Trademark Office,Department of Commerce,Anywhere in the U.S. (remote job),"Starting at $112,015 Per Year (GS 13)",Product Manager
Supervisory Commissary Management Specialist (User Experience Division Chief),Defense Commissary Agency,Department of Defense,"Fort Gregg-Adams, Virginia
                    Fort Gregg-Adams, Virginia","Starting at $121,268 Per Year (GS 14)",Product Manager
Supervisory Commissary Management Specialist (User Experience Division Chief),Defense Commissary Agency,Department of Defense,"Fort Gregg-Adams, Virginia
                    Fort Gregg-Adams, Virginia","Starting at $121,268 Per Year (GS 14)",Product Manager
FOOD SERVICE ASSISTANT MANAGER (BURGER KING) NF-03 RFT (LOCAL COMMUTING AREA ONLY),U.S. Marine Corps,Department of the Navy,"Iwakuni, Japan
                    Iwakuni, Japan",Starting at $19 Per Hour (NF 03),Product Manager
FOOD SERVICE ASSISTANT MANAGER (TACO BELL) NF-03 RFT (LOCAL COMMUTING AREA ONLY),U.S. Marine Corps,Department of the Navy,"Iwakuni, Japan
                    Iwakuni, Japan",Starting at $19 Per Hour (NF 03),Product Manager
SUPERVISORY ACQUISITION PROGRAM MANAGER-DIRECT HIRING AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Hill AFB, Utah
                    Hill AFB, Utah","Starting at $116,393 Per Year (NH 4)",Product Manager
Physician Informaticist,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $130,000 Per Year (VM 15)",Product Manager
MWR Recreation Aid- Bowling,"Commander, Navy Installations",Department of the Navy,"China Lake, California
                    China Lake, California",Starting at $15.50 Per Hour (NF 1),Product Manager
Certified Registered Nurse Anesthetist (CRNA),Veterans Health Administration,Department of Veterans Affairs,"Cincinnati, Ohio
                    Cincinnati, Ohio","Starting at $140,005 Per Year (VN 00)",Product Manager
Health Systems Specialist - Associate Group Practice Manager,Veterans Health Administration,Department of Veterans Affairs,"Fayetteville, North Carolina
                    Fayetteville, North Carolina","Starting at $71,995 Per Year (GS 11-12)",Product Manager
PHYSIOLOGIST,Consumer Product Safety Commission,Other Agencies and Independent Organizations,"Rockville, Maryland
                    Rockville, Maryland","Starting at $94,199 Per Year (GS 12)",Product Manager
