job title,agency,department,location,salary,search_keyword
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Business Center, Philadelphia, Pennsylvania
                    Naval Business Center, Philadelphia, Pennsylvania","Starting at $108,084 Per Year (GS 13)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Shipyard, Portsmouth, Virginia
                    Naval Shipyard, Portsmouth, Virginia","Starting at $99,714 Per Year (GS 13)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Wilmington, North Carolina
                    Wilmington, North Carolina","Starting at $89,266 Per Year (GS 12)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $46,696 Per Year (GS 7-11)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Washington Navy Yard, District of Columbia
                    Washington Navy Yard, District of Columbia","Starting at $9,419 Per Year (GS 12-13)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"San Francisco, California
                    San Francisco, California","Starting at $85,508 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Fish and Wildlife Service,Department of the Interior,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer,"Interior, Bureau of Indian Affairs",Department of the Interior,"Phoenix, Arizona
                    Phoenix, Arizona","Starting at $39,294 Per Year (GS 5-9)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $46,696 Per Year (GS 7-9)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Rock Island, Illinois
                    Rock Island, Illinois","Starting at $70,121 Per Year (GS 11-12)",Civil Engineer
Lead Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Jacksonville, Florida
                    Jacksonville, Florida","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Lead Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Jacksonville, Florida
                    Jacksonville, Florida","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Civil Engineer (Structural),Bureau of Reclamation,Department of the Interior,"Billings, Montana
                    Billings, Montana","Starting at $97,169 Per Year (GS 12)",Civil Engineer
Civil Engineer - Direct Hire,Department of Transportation - Agency Wide,Department of Transportation,"Location Negotiable After Selection,","Starting at $46,696 Per Year (GS 07-09)",Civil Engineer
Supervisory Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Jacksonville, Florida
                    Jacksonville, Florida","Starting at $98,496 Per Year (GS 13)",Civil Engineer
CIVIL ENGINEER (TITLE 32),Air National Guard Units,Department of the Air Force,"Peoria, Illinois
                    Peoria, Illinois","Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Savannah, Georgia
                    Savannah, Georgia","Starting at $109,908 Per Year (GS 13)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Los Angeles, California
                    Los Angeles, California","Starting at $80,015 Per Year (GS 11)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Los Angeles, California
                    Los Angeles, California","Starting at $95,905 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Ventura, California
                    Ventura, California","Starting at $95,905 Per Year (GS 12)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Civil Engineer
CIVIL ENGINEER,Department of the Air Force - Agency Wide,Department of the Air Force,Multiple Locations,"Starting at $59,319 Per Year (GS 11-15)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Pittsburgh, Pennsylvania
                    Pittsburgh, Pennsylvania","Starting at $71,402 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Los Angeles, California
                    Los Angeles, California","Starting at $60,122 Per Year (GS 7-11)",Civil Engineer
