job title,agency,department,location,salary,search_keyword
OPS ASSOC NF2*,U.S. Marine Corps,Department of the Navy,"Havelock, North Carolina
                    Havelock, North Carolina",Starting at $16 Per Hour (NF 02),Product Manager
Equipment Specialist (Fire),Forest Service,Department of Agriculture,"San Dimas, California
                    San Dimas, California","Starting at $54,067 Per Year (GS 7-9)",Product Manager
Quality Assurance Specialist,"Executive Director, Office of Acquisition and Logistics",Department of Veterans Affairs,"Golden, Colorado
                    Golden, Colorado","Starting at $51,726 Per Year (GS 7-9)",Product Manager
EXPERIENCE SPECIALIST NF-2 NORTHERN LOCATIONS- $150 HIRING BONUS,U.S. Marine Corps,Department of the Navy,"Oceanside, California
                    Oceanside, California",Starting at $19.11 Per Hour (NF 02),Product Manager
Interdisciplinary Project Manager,U.S. Army Corps of Engineers,Department of the Army,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12-13)",Product Manager
Supervisory Digital Services Manager,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (IR 1)",Product Manager
SUPERVISORY MINERALS REVENUE SPECIALIST,Office of the Secretary of the Interior,Department of the Interior,"Location Negotiable After Selection,","Starting at $116,393 Per Year (GS 14)",Product Manager
Civil Engineer (Project Manager),U.S. Army Corps of Engineers,Department of the Army,"Concord, Massachusetts
                    Concord, Massachusetts","Starting at $130,929 Per Year (GS 14)",Product Manager
Criminal Investigator,Food and Drug Administration,Department of Health and Human Services,Multiple Locations,"Starting at $59,319 Per Year (GS 11)",Product Manager
SUPV IT SPECIALIST (INFOSEC),Naval Sea Systems Command,Department of the Navy,"Naval Base Newport, Rhode Island
                    Naval Base Newport, Rhode Island","Starting at $93,175 Per Year (NT 5)",Product Manager
IT Project Manager,Deputy Assistant Secretary for Information and Technology,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $84,546 Per Year (GS 13)",Product Manager
Meteorologist,National Oceanic and Atmospheric Administration,Department of Commerce,"College Park, Maryland
                    College Park, Maryland","Starting at $112,015 Per Year (GS 13)",Product Manager
Nutritionist,Agricultural Marketing Service,Department of Agriculture,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Product Manager
Chemist (Senior Material Program Manager-Interdisciplinary),Bureau of Engraving and Printing,Department of the Treasury,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Product Manager
Digital Business Analyst (12 Month Register),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $111,521 Per Year (GS 14)",Product Manager
Intelligence Specialist (ICD),United States Army Futures Command,Department of the Army,"Fort Huachuca, Arizona
                    Fort Huachuca, Arizona","Starting at $100,102 Per Year (GG 13)",Product Manager
Clinical Laboratory Scientist (Medical Technologist),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Lexington, Kentucky
                    Lexington, Kentucky","Starting at $52,921 Per Year (GL 07-09)",Product Manager
Program Analyst (Cybersecurity),Administrative Office of the U.S. Courts,Judicial Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $78,592 Per Year (AD 00)",Product Manager
"Naval Architect, GS-0871-14, NTE - 12/31/27",U.S. Coast Guard,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Product Manager
MWR Sales Clerk Lead (Starbucks),"Commander, Navy Installations",Department of the Navy,"San Diego, California
                    San Diego, California","Starting at $40,817 Per Year (NF 2)",Product Manager
Pharmacy Technician,Veterans Health Administration,Department of Veterans Affairs,"Syracuse, New York
                    Syracuse, New York","Starting at $39,582 Per Year (GS 00)",Product Manager
General Engineer (Project Manager),"Treasury, Departmental Offices",Department of the Treasury,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Product Manager
PROGRAM ANALYST,U.S. Army Acquisition Support Center,Department of the Army,"Warren, Michigan
                    Warren, Michigan","Starting at $91,270 Per Year (NH 3)",Product Manager
Director of Retail,Architect of the Capitol,Legislative Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Product Manager
Automotive Worker Supervisor (Automotive Worker Foreman - UNICOR),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Glenville, West Virginia
                    Glenville, West Virginia",Starting at $34.19 Per Hour (WS 08),Product Manager
